Name,Address,Rating,Total Reviews,Latitude,Longitude,Phone Number,Opening Hours,Website,Business Status,Place ID
Ambrosia Restaurant,"Hotel Grand Rio, opp, Lekha Nagar Bypass Road, XQCG+R3P, Mumbai - Agra Rd, Indira Nagar, Nashik, Maharashtra 422009, India",4.2,268,19.972085,73.7752125,+91 253 665 2222,"Monday: 7:30 AM – 11:30 PM, Tuesday: 7:30 AM – 11:30 PM, Wednesday: 7:30 AM – 11:30 PM, Thursday: 7:30 AM – 11:30 PM, Friday: 7:30 AM – 11:30 PM, Saturday: 7:30 AM – 11:30 PM, Sunday: 7:30 AM – 11:30 PM",http://www.grandriohotels.com/,OPERATIONAL,ChIJqyKbwz7r3TsRyS5ewavRkDk
Patang restaurant and bar,"Sharanpur Rd, Racca Colony, Jejurkar Wadi, Sharanpur, Nashik, Maharashtra 422002, India",4.1,877,20.0016294,73.7748745,+91 77220 30040,"Monday: 11:30 AM – 11:30 PM, Tuesday: 11:30 AM – 11:30 PM, Wednesday: 11:30 AM – 11:30 PM, Thursday: 11:30 AM – 11:30 PM, Friday: 11:30 AM – 11:30 PM, Saturday: 11:30 AM – 11:30 PM, Sunday: 11:30 AM – 11:30 PM",,OPERATIONAL,ChIJ3eh58aDr3TsRHBZg-Yiofk0
Haji Darbar Restaurant,"Falke Rd, Lokhand Bazar, Koknipura, Nashik, Maharashtra 422001, India",4.1,1697,19.996915,73.7904125,+91 98909 78600,"Monday: 9:15 AM – 12:00 AM, Tuesday: 9:15 AM – 12:00 AM, Wednesday: 9:15 AM – 12:00 AM, Thursday: 9:15 AM – 12:00 AM, Friday: 9:15 AM – 12:00 AM, Saturday: 9:15 AM – 12:00 AM, Sunday: 9:15 AM – 12:00 AM",,OPERATIONAL,ChIJsxk_QAHr3TsRypwuGX01rqk
HOTEL AL-AZIM: Best restaurant in nashik,"Dwarka Cir, Maneksha Nagar, Dwarka, Nashik, Maharashtra 422001, India",4.0,338,19.9943019,73.7982921,+91 90962 68456,"Monday: Open 24 hours, Tuesday: Open 24 hours, Wednesday: Open 24 hours, Thursday: Open 24 hours, Friday: Open 24 hours, Saturday: Open 24 hours, Sunday: Open 24 hours",,OPERATIONAL,ChIJOQtrMLbr3TsRUKPgTOiA8IU
The Callisto-Multi Cuisine Restaurant & Bar in Nashik,"Plot No.: 4,5, Survey No.: 50/2, Gangapur Rd, Anand Nagar, Serene Meadows, Anandvalli, Nashik, Maharashtra 422013, India",4.2,1382,20.0140023,73.738725,+91 80805 87063,"Monday: 11:00 AM – 11:00 PM, Tuesday: 11:00 AM – 11:00 PM, Wednesday: 11:00 AM – 11:00 PM, Thursday: 11:00 AM – 11:00 PM, Friday: 11:00 AM – 11:00 PM, Saturday: 11:00 AM – 11:00 PM, Sunday: 11:00 AM – 11:00 PM",,OPERATIONAL,ChIJ1Vhxd8Tt3TsR-s6fBAIADzc
Malvan Seafood Restaurant,"Trambakeshwar Rd, above Royale Enfield Showroom, next to Sitadel Hotel, MIDC, Satpur Colony, Nashik, Maharashtra 422007, India",3.9,251,19.9920339,73.7456874,,"Monday: 11:30 AM – 4:20 PM, 6:45 – 11:30 PM, Tuesday: 11:30 AM – 4:20 PM, 6:45 – 11:30 PM, Wednesday: 11:30 AM – 4:20 PM, 6:45 – 11:30 PM, Thursday: 11:30 AM – 4:20 PM, 6:45 – 11:30 PM, Friday: 11:30 AM – 4:20 PM, 6:45 – 11:30 PM, Saturday: 11:30 AM – 4:20 PM, 6:45 – 11:30 PM, Sunday: 11:30 AM – 4:20 PM, 6:45 – 11:30 PM",,OPERATIONAL,ChIJZy2qY6rt3TsRB1hS0it5SRA
Shree Rajbhog Thali Restaurant in Panchavati by Curry Leaves,"Shree Harikrushna Plaza , Shop No 8 & 9, Hirawadi Road Old, Depot, nr. Panchavati, Adgaon Naka, Shree Dwaraka Nagari, Nashik, Maharashtra 422003, India",4.5,3108,20.0090892,73.8028009,+91 87936 62477,"Monday: 12:00 – 3:30 PM, 7:00 – 11:00 PM, Tuesday: 12:00 – 3:30 PM, 7:00 – 11:00 PM, Wednesday: 12:00 – 3:30 PM, 7:00 – 11:00 PM, Thursday: 12:00 – 3:30 PM, 7:00 – 11:00 PM, Friday: 12:00 – 3:30 PM, 7:00 – 11:00 PM, Saturday: 12:00 – 3:30 PM, 7:00 – 11:00 PM, Sunday: 12:00 – 3:30 PM, 7:00 – 11:00 PM",,OPERATIONAL,ChIJEeJsbnHs3TsRnxsXHfVD70g
Green inn Pure Veg - Best Restaurant in Nashik,"Shop no. 7/8/9, Business Icon, Jail Rd, behind Indira Gandhi Statue, Near Indira Gandhi Statue, Pintoo Colony, Nashik Road, Nashik, Maharashtra 422101, India",3.8,85,19.9767927,73.8371616,+91 80871 88698,"Monday: 8:00 AM – 11:00 PM, Tuesday: 8:00 AM – 11:00 PM, Wednesday: 8:00 AM – 11:00 PM, Thursday: 8:00 AM – 11:00 PM, Friday: 8:00 AM – 11:00 PM, Saturday: 8:00 AM – 11:00 PM, Sunday: 8:00 AM – 11:00 PM",https://www.zomato.com/nashik/green-inn-jail-road,OPERATIONAL,ChIJRS0Jhgvr3TsRT4XsGT4ptjQ
Jai Jagannath Restaurant,"Mahatma Gandhi Rd, Shalimar, Nashik, Maharashtra 422001, India",3.9,881,20.0038519,73.78697559999999,+91 92704 69069,"Monday: 7:30 AM – 11:00 PM, Tuesday: 7:30 AM – 11:00 PM, Wednesday: 7:30 AM – 11:00 PM, Thursday: 7:30 AM – 11:00 PM, Friday: 7:30 AM – 11:00 PM, Saturday: 7:30 AM – 11:00 PM, Sunday: 7:30 AM – 11:00 PM",,OPERATIONAL,ChIJ9a-aCanr3TsRDQ_J__T-m9o
GPS 99 RESTAURANT,"Pujya Sri Sri Ravishankar Marg, near DGP Nagar-1, Vidhate Nagar, Tirumla Nagar, Wadala Gaon, Nashik, Maharashtra 422006, India",4.1,838,19.9687175,73.7999162,+91 86691 10119,"Monday: 8:00 AM – 11:00 PM, Tuesday: 8:00 AM – 11:00 PM, Wednesday: 8:00 AM – 11:00 PM, Thursday: 8:00 AM – 11:00 PM, Friday: 8:00 AM – 11:00 PM, Saturday: 8:00 AM – 11:00 PM, Sunday: 8:00 AM – 11:00 PM",,OPERATIONAL,ChIJd7JXMTzr3TsRrQAP5Dj2MbQ
Malvan Family Restaurant,"Shop No. 7, Regent Plaza Patil Lane, 3, College Rd, Yashogandha Society, Patil Colony, Nashik, Maharashtra 422013, India",4.0,1348,20.0070005,73.7659121,+91 89757 97878,"Monday: 11:00 AM – 11:00 PM, Tuesday: 11:00 AM – 11:00 PM, Wednesday: 11:00 AM – 11:00 PM, Thursday: 11:00 AM – 11:00 PM, Friday: 11:00 AM – 11:00 PM, Saturday: 11:00 AM – 11:00 PM, Sunday: 11:00 AM – 11:00 PM",,OPERATIONAL,ChIJR_VZYZnr3TsRXkN_U4XuLl0
Hotel Blue Leaf,"Gangapur Rd, Serene Meadows, Anandvalli, Nashik, Maharashtra 422013, India",3.9,2573,20.014969,73.737234,+91 77220 15998,"Monday: 11:00 AM – 11:30 PM, Tuesday: 11:00 AM – 11:30 PM, Wednesday: 11:00 AM – 11:30 PM, Thursday: 11:00 AM – 11:30 PM, Friday: 11:00 AM – 11:30 PM, Saturday: 11:00 AM – 11:30 PM, Sunday: 11:00 AM – 11:30 PM",,OPERATIONAL,ChIJ9eDM7Xbs3TsRsPQzuobLzXY
Kokani Darbar Restaurant,"Behind Rajjak Manzil, Doodh Bazar, Doodh Bazar, Koknipura, Nashik, Maharashtra 422001, India",4.0,4487,19.998873,73.789778,+91 91723 14866,"Monday: 9:00 AM – 11:00 PM, Tuesday: 9:00 AM – 11:00 PM, Wednesday: 9:00 AM – 11:00 PM, Thursday: 9:00 AM – 11:00 PM, Friday: 9:00 AM – 11:00 PM, Saturday: 9:00 AM – 11:00 PM, Sunday: 9:00 AM – 11:00 PM",http://www.kokanidarbar.com/,OPERATIONAL,ChIJS-fyOgHr3TsRCevbTx2n5kk
Hotel Rama Heritage Pure Veg Restaurant,"Hotel Rama Heritage, beside Kalika Mandir, near Mumbai Naka, Mumbai Naka, Matoshree Nagar, Nashik, Maharashtra 422002, India",4.2,471,19.9907694,73.7828158,+91 99237 53622,"Monday: 7:30 AM – 11:00 PM, Tuesday: 7:30 AM – 11:00 PM, Wednesday: 7:30 AM – 11:00 PM, Thursday: 7:30 AM – 11:00 PM, Friday: 7:30 AM – 11:00 PM, Saturday: 7:30 AM – 11:00 PM, Sunday: 7:30 AM – 11:00 PM",https://hotelramaheritage.com/,OPERATIONAL,ChIJr5jpGwnr3TsRU8Vfq0CAYLY
Angrezi Dhaba,"Survey No 290 1st Floor, Car Mall, Mumbai - Agra Rd, next to Express Inn Hotel, Buddha Vihar, Pathardi Phata, Nashik, Maharashtra 422010, India",4.3,1256,19.9516451,73.7541071,+91 93093 10068,"Monday: 12:00 PM – 12:00 AM, Tuesday: 12:00 PM – 12:00 AM, Wednesday: 12:00 PM – 12:00 AM, Thursday: 12:00 PM – 12:00 AM, Friday: 12:00 PM – 12:00 AM, Saturday: 12:00 PM – 12:00 AM, Sunday: 12:00 PM – 12:00 AM",,OPERATIONAL,ChIJmaEM07zr3TsRs2jXdrg7dO0
Red Chilly Spirits N Spices,"S.No. 38 /1, Plot No. 1, B-2B, Gangapur Rd, opp. Vrundavan Lawns, Rameshwar Nagar, Balawant Nagar, Anandvalli, Nashik, Maharashtra 422013, India",4.2,1808,20.01384819999999,73.7395289,+91 84540 80808,"Monday: 11:00 AM – 11:55 PM, Tuesday: 11:00 AM – 11:55 PM, Wednesday: 11:00 AM – 11:55 PM, Thursday: 11:00 AM – 11:55 PM, Friday: 11:00 AM – 11:55 PM, Saturday: 11:00 AM – 11:55 PM, Sunday: 11:00 AM – 11:55 PM",https://www.facebook.com/spiritsandspicesnashik,OPERATIONAL,ChIJPVEQkOHt3TsRYFAlSt9b21A
